Model name, max_depth, min_samples_leaf, n_estimators, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
d2vdm100,20,13,400,0.808,0.813,0.803,0.810,0.805,2070,484,476,1970
d2vdm100,20,13,800,0.808,0.811,0.804,0.811,0.804,2066,482,480,1972
d2vdm100,25,13,100,0.795,0.805,0.785,0.795,0.795,2049,527,497,1927
d2vdm100,25,13,400,0.809,0.814,0.804,0.811,0.806,2072,482,474,1972
d2vdm100,25,13,800,0.805,0.812,0.797,0.806,0.803,2067,497,479,1957
d2vdbow100,15,2,100,0.820,0.857,0.782,0.803,0.841,2183,536,363,1918
d2vdbow100,15,2,400,0.827,0.870,0.782,0.806,0.853,2215,534,331,1920
d2vdbow100,15,2,800,0.830,0.880,0.778,0.805,0.862,2240,544,306,1910
d2vdbow100,20,2,100,0.803,0.835,0.770,0.790,0.818,2125,564,421,1890
d2vdbow100,20,2,400,0.828,0.875,0.778,0.804,0.858,2229,545,317,1909
d2vdbow100,20,2,800,0.827,0.880,0.771,0.800,0.861,2240,561,306,1893
d2vdbow100,25,2,100,0.798,0.836,0.758,0.782,0.817,2129,594,417,1860
d2vdbow100,25,2,400,0.826,0.866,0.784,0.806,0.850,2206,531,340,1923
d2vdbow100,25,2,800,0.832,0.885,0.778,0.805,0.867,2253,545,293,1909
d2vdbow100,15,3,100,0.808,0.867,0.746,0.780,0.844,2208,624,338,1830
d2vdbow100,15,3,400,0.826,0.883,0.767,0.797,0.863,2247,571,299,1883
d2vdbow100,15,3,800,0.831,0.884,0.777,0.804,0.866,2250,547,296,1907
d2vdbow100,20,3,100,0.813,0.850,0.774,0.796,0.833,2165,554,381,1900
d2vdbow100,20,3,400,0.828,0.875,0.780,0.805,0.858,2228,540,318,1914
d2vdbow100,20,3,800,0.832,0.875,0.786,0.810,0.859,2229,524,317,1930
d2vdbow100,25,3,100,0.805,0.841,0.769,0.790,0.823,2140,568,406,1886
d2vdbow100,25,3,400,0.831,0.875,0.785,0.809,0.858,2227,527,319,1927
d2vdbow100,25,3,800,0.828,0.882,0.772,0.800,0.863,2245,560,301,1894
d2vdbow100,15,5,100,0.817,0.846,0.788,0.805,0.831,2153,520,393,1934
d2vdbow100,15,5,400,0.826,0.872,0.779,0.804,0.855,2221,543,325,1911
d2vdbow100,15,5,800,0.832,0.879,0.784,0.808,0.862,2237,530,309,1924
d2vdbow100,20,5,100,0.815,0.861,0.769,0.794,0.842,2191,568,355,1886
d2vdbow100,20,5,400,0.829,0.880,0.775,0.802,0.862,2241,552,305,1902
d2vdbow100,20,5,800,0.829,0.881,0.774,0.802,0.863,2244,555,302,1899
d2vdbow100,25,5,100,0.805,0.875,0.733,0.773,0.849,2227,655,319,1799
d2vdbow100,25,5,400,0.823,0.875,0.768,0.797,0.856,2228,569,318,1885
d2vdbow100,25,5,800,0.827,0.885,0.767,0.798,0.866,2254,572,292,1882
d2vdbow100,15,7,100,0.815,0.873,0.756,0.788,0.851,2222,599,324,1855
d2vdbow100,15,7,400,0.829,0.881,0.775,0.802,0.863,2244,553,302,1901
d2vdbow100,15,7,800,0.829,0.882,0.773,0.801,0.863,2245,556,301,1898
d2vdbow100,20,7,100,0.810,0.888,0.729,0.773,0.862,2260,665,286,1789
d2vdbow100,20,7,400,0.830,0.884,0.773,0.802,0.865,2251,556,295,1898
d2vdbow100,20,7,800,0.830,0.879,0.780,0.805,0.861,2238,541,308,1913
d2vdbow100,25,7,100,0.809,0.867,0.749,0.782,0.845,2208,617,338,1837
d2vdbow100,25,7,400,0.828,0.885,0.769,0.799,0.866,2253,566,293,1888
d2vdbow100,25,7,800,0.834,0.885,0.780,0.807,0.867,2253,539,293,1915
d2vdbow100,15,10,100,0.823,0.864,0.781,0.804,0.847,2200,537,346,1917
d2vdbow100,15,10,400,0.830,0.883,0.775,0.803,0.864,2247,553,299,1901
d2vdbow100,15,10,800,0.832,0.892,0.769,0.800,0.873,2271,567,275,1887
d2vdbow100,20,10,100,0.815,0.855,0.774,0.797,0.838,2178,555,368,1899
d2vdbow100,20,10,400,0.828,0.879,0.775,0.802,0.861,2239,553,307,1901
d2vdbow100,20,10,800,0.830,0.885,0.774,0.802,0.866,2253,555,293,1899
d2vdbow100,25,10,100,0.812,0.860,0.762,0.790,0.840,2190,583,356,1871
d2vdbow100,25,10,400,0.828,0.880,0.774,0.801,0.861,2240,555,306,1899
d2vdbow100,25,10,800,0.826,0.884,0.767,0.797,0.864,2250,572,296,1882
d2vdbow100,15,13,100,0.819,0.870,0.767,0.794,0.850,2215,573,331,1881
d2vdbow100,15,13,400,0.829,0.879,0.777,0.803,0.861,2238,548,308,1906
d2vdbow100,15,13,800,0.830,0.886,0.772,0.801,0.867,2256,559,290,1895
d2vdbow100,20,13,100,0.817,0.857,0.776,0.799,0.840,2182,550,364,1904
d2vdbow100,20,13,400,0.827,0.869,0.784,0.807,0.852,2212,529,334,1925
d2vdbow100,20,13,800,0.830,0.883,0.775,0.803,0.865,2249,553,297,1901
d2vdbow100,25,13,100,0.818,0.857,0.778,0.800,0.840,2182,546,364,1908
d2vdbow100,25,13,400,0.828,0.868,0.786,0.808,0.852,2211,526,335,1928
d2vdbow100,25,13,800,0.830,0.882,0.777,0.804,0.864,2245,548,301,1906
w2vavg,15,2,100,0.737,0.749,0.723,0.738,0.736,1908,679,638,1775
w2vavg,15,2,400,0.740,0.751,0.728,0.741,0.738,1913,668,633,1786
w2vavg,15,2,800,0.742,0.756,0.729,0.743,0.742,1924,666,622,1788
w2vavg,20,2,100,0.741,0.756,0.727,0.741,0.741,1924,671,622,1783
w2vavg,20,2,400,0.743,0.754,0.731,0.744,0.741,1919,660,627,1794
w2vavg,20,2,800,0.745,0.754,0.735,0.747,0.742,1920,651,626,1803
w2vavg,25,2,100,0.744,0.755,0.733,0.746,0.743,1923,655,623,1799
w2vavg,25,2,400,0.745,0.749,0.741,0.750,0.740,1908,635,638,1819
w2vavg,25,2,800,0.745,0.752,0.738,0.748,0.741,1914,644,632,1810
w2vavg,15,3,100,0.737,0.750,0.724,0.738,0.736,1910,677,636,1777
w2vavg,15,3,400,0.741,0.755,0.727,0.741,0.740,1921,671,625,1783
w2vavg,15,3,800,0.740,0.753,0.727,0.741,0.740,1918,671,628,1783
w2vavg,20,3,100,0.743,0.751,0.734,0.745,0.740,1912,653,634,1801
w2vavg,20,3,400,0.741,0.751,0.731,0.743,0.739,1913,660,633,1794
w2vavg,20,3,800,0.745,0.753,0.736,0.747,0.742,1918,649,628,1805
